"","spp","dbh","cr","logs","best_log","worst_log","butt_log","veneer_present","saw_present","quality_score","site","drate","price_factor","crop"
"23","BM",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"24","PB",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"25","RM",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"26","SO",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"27","WO",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"28","YB",13,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"29","BC",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"30","BM",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"31","PB",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"32","RM",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"33","SO",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"34","WO",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"35","YB",16,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"36","BC",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"37","BM",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"38","PB",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"39","RM",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"40","SO",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"41","WO",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"42","YB",19,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"43","BC",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"44","BM",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"45","PB",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"46","RM",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"47","SO",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"48","WO",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"49","YB",22,20,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"50","BC",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"51","BM",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"52","PB",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"53","RM",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"54","SO",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"55","WO",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"56","YB",4,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"57","BC",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"58","BM",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"59","PB",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"60","RM",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"61","SO",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"62","WO",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"63","YB",7,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"64","BC",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"65","BM",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"66","PB",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"67","RM",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"68","SO",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"69","WO",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"70","YB",10,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"71","BC",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"72","BM",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"73","PB",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"74","RM",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"75","SO",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"76","WO",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"77","YB",13,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"78","BC",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"79","BM",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"80","PB",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"81","RM",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"82","SO",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"83","WO",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"84","YB",16,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"85","BC",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"86","BM",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"87","PB",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"88","RM",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"89","SO",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"90","WO",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"91","YB",19,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"92","BC",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"93","BM",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"94","PB",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"95","RM",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"96","SO",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"97","WO",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"98","YB",22,30,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"99","BC",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"100","BM",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"101","PB",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"102","RM",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"103","SO",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"104","WO",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"105","YB",4,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"106","BC",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"107","BM",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"108","PB",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"109","RM",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"110","SO",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"111","WO",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"112","YB",7,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"113","BC",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"114","BM",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"115","PB",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"116","RM",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"117","SO",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"118","WO",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"119","YB",10,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"120","BC",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"121","BM",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"122","PB",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"123","RM",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"124","SO",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"125","WO",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"126","YB",13,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"127","BC",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"128","BM",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"129","PB",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"130","RM",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"131","SO",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"132","WO",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"133","YB",16,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"134","BC",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"135","BM",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"136","PB",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"137","RM",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"138","SO",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"139","WO",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"140","YB",19,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"141","BC",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"142","BM",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"143","PB",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"144","RM",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"145","SO",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"146","WO",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"147","YB",22,40,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"148","BC",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"149","BM",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"150","PB",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"151","RM",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"152","SO",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"153","WO",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"154","YB",4,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"155","BC",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"156","BM",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"157","PB",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"158","RM",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"159","SO",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"160","WO",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"161","YB",7,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"162","BC",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"163","BM",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"164","PB",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"165","RM",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"166","SO",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"167","WO",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"168","YB",10,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"169","BC",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"170","BM",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"171","PB",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"172","RM",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"173","SO",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"174","WO",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"175","YB",13,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"176","BC",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"177","BM",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"178","PB",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"179","RM",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"180","SO",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"181","WO",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"182","YB",16,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"183","BC",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"184","BM",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"185","PB",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"186","RM",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"187","SO",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"188","WO",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"189","YB",19,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"190","BC",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"191","BM",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"192","PB",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"193","RM",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"194","SO",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"195","WO",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"196","YB",22,50,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"197","BC",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"198","BM",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"199","PB",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"200","RM",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"201","SO",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"202","WO",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"203","YB",4,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"204","BC",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"205","BM",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"206","PB",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"207","RM",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"208","SO",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"209","WO",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"210","YB",7,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"211","BC",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"212","BM",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"213","PB",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"214","RM",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"215","SO",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"216","WO",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"217","YB",10,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"218","BC",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"219","BM",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"220","PB",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"221","RM",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"222","SO",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"223","WO",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"224","YB",13,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"225","BC",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"226","BM",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"227","PB",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"228","RM",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"229","SO",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"230","WO",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"231","YB",16,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"232","BC",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"233","BM",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"234","PB",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"235","RM",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"236","SO",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"237","WO",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"238","YB",19,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"239","BC",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"240","BM",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"241","PB",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"242","RM",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"243","SO",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"244","WO",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"245","YB",22,60,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"246","BC",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"247","BM",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"248","PB",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"249","RM",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"250","SO",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"251","WO",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"252","YB",4,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"253","BC",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"254","BM",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"255","PB",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"256","RM",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"257","SO",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"258","WO",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"259","YB",7,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"260","BC",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"261","BM",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"262","PB",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"263","RM",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"264","SO",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"265","WO",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"266","YB",10,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"267","BC",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,FALSE
"268","BM",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"269","PB",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"270","RM",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"271","SO",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
"272","WO",13,70,"1125555555",1,2,1,TRUE,TRUE,8,"granitictill",0.03,1,TRUE
